Company,Ticker,Date,Price,Type
Amazon,AMZN,Dec 2022,$84.00,Historical
Amazon,AMZN,Jan 2023,$103.13,Historical
Amazon,AMZN,Feb 2023,$94.23,Historical
Amazon,AMZN,Mar 2023,$103.29,Historical
Amazon,AMZN,Apr 2023,$105.45,Historical
Amazon,AMZN,May 2023,$120.58,Historical
Amazon,AMZN,Jun 2023,$130.36,Historical
Amazon,AMZN,Jul 2023,$133.68,Historical
Amazon,AMZN,Aug 2023,$138.01,Historical
Amazon,AMZN,Sep 2023,$127.12,Historical
Amazon,AMZN,Oct 2023,$133.09,Historical
Amazon,AMZN,Nov 2023,$146.09,Historical
Amazon,AMZN,Dec 2023,$151.94,Historical
Amazon,AMZN,Jan 2024,$155.20,Historical
Amazon,AMZN,Feb 2024,$176.76,Historical
Amazon,AMZN,Mar 2024,$180.38,Historical
Amazon,AMZN,Apr 2024,$175.00,Historical
Amazon,AMZN,May 2024,$176.44,Historical
Amazon,AMZN,Jun 2024,$193.25,Historical
Amazon,AMZN,Jul 2024,$186.98,Historical
Amazon,AMZN,Aug 2024,$178.50,Historical
Amazon,AMZN,Sep 2024,$186.33,Historical
Amazon,AMZN,Oct 2024,$186.40,Historical
Amazon,AMZN,Nov 2024,$207.89,Historical
Amazon,AMZN,Dec 2024,$219.39,Historical
Amazon,AMZN,Jan 2025,$237.68,Historical
Amazon,AMZN,Feb 2025,$212.28,Historical
Amazon,AMZN,Mar 2025,$190.26,Historical
Amazon,AMZN,Apr 2025,$184.42,Historical
Amazon,AMZN,May 2025,$205.01,Historical
Amazon,AMZN,Jun 2025,$219.39,Historical
Amazon,AMZN,Jul 2025,$234.11,Historical
Amazon,AMZN,Aug 2025,$229.00,Historical
Amazon,AMZN,Sep 2025,$219.57,Historical
Amazon,AMZN,Oct 2025,$244.22,Historical
Amazon,AMZN,Nov 2025,$233.22,Historical
Amazon,AMZN,Dec 2025,$230.82,Historical
Amazon,AMZN,Jan 2026,$239.30,Historical
Amazon,AMZN,Feb 2026,$210.00,Historical
Amazon,AMZN,Mar 2026,$209.87,Historical
Amazon,AMZN,Mar 2026,$99.27,Forecast
Amazon,AMZN,Apr 2026,$103.11,Forecast
Amazon,AMZN,May 2026,$115.91,Forecast
Amazon,AMZN,Jun 2026,$95.66,Forecast
Amazon,AMZN,Jul 2026,$104.30,Forecast
Amazon,AMZN,Aug 2026,$102.07,Forecast
Amazon,AMZN,Sep 2026,$97.99,Forecast
Amazon,AMZN,Oct 2026,$111.73,Forecast
Amazon,AMZN,Nov 2026,$105.82,Forecast
Amazon,AMZN,Dec 2026,$108.46,Forecast
Amazon,AMZN,Jan 2027,$100.07,Forecast
Amazon,AMZN,Feb 2027,$108.36,Forecast
Amazon,AMZN,Mar 2027,$99.79,Forecast
Amazon,AMZN,Apr 2027,$106.81,Forecast
Amazon,AMZN,May 2027,$111.16,Forecast
Amazon,AMZN,Jun 2027,$102.38,Forecast
Amazon,AMZN,Jul 2027,$97.83,Forecast
Amazon,AMZN,Aug 2027,$94.78,Forecast
Netflix,NFLX,Mar 2021,$52.17,Historical
Netflix,NFLX,Apr 2021,$51.35,Historical
Netflix,NFLX,May 2021,$50.28,Historical
Netflix,NFLX,Jun 2021,$52.82,Historical
Netflix,NFLX,Jul 2021,$51.76,Historical
Netflix,NFLX,Aug 2021,$56.92,Historical
Netflix,NFLX,Sep 2021,$61.03,Historical
Netflix,NFLX,Oct 2021,$69.03,Historical
Netflix,NFLX,Nov 2021,$64.19,Historical
Netflix,NFLX,Dec 2021,$60.24,Historical
Netflix,NFLX,Jan 2022,$42.71,Historical
Netflix,NFLX,Feb 2022,$39.45,Historical
Netflix,NFLX,Mar 2022,$37.46,Historical
Netflix,NFLX,Apr 2022,$19.04,Historical
Netflix,NFLX,May 2022,$19.74,Historical
Netflix,NFLX,Jun 2022,$17.49,Historical
Netflix,NFLX,Jul 2022,$22.49,Historical
Netflix,NFLX,Aug 2022,$22.36,Historical
Netflix,NFLX,Sep 2022,$23.54,Historical
Netflix,NFLX,Oct 2022,$29.19,Historical
Netflix,NFLX,Nov 2022,$30.55,Historical
Netflix,NFLX,Dec 2022,$29.49,Historical
Netflix,NFLX,Jan 2023,$35.39,Historical
Netflix,NFLX,Feb 2023,$32.21,Historical
Netflix,NFLX,Mar 2023,$34.55,Historical
Netflix,NFLX,Apr 2023,$32.99,Historical
Netflix,NFLX,May 2023,$39.52,Historical
Netflix,NFLX,Jun 2023,$44.05,Historical
Netflix,NFLX,Jul 2023,$43.90,Historical
Netflix,NFLX,Aug 2023,$43.37,Historical
Netflix,NFLX,Sep 2023,$37.76,Historical
Netflix,NFLX,Oct 2023,$41.17,Historical
Netflix,NFLX,Nov 2023,$47.40,Historical
Netflix,NFLX,Dec 2023,$48.69,Historical
Netflix,NFLX,Jan 2024,$56.41,Historical
Netflix,NFLX,Feb 2024,$60.29,Historical
Netflix,NFLX,Mar 2024,$60.73,Historical
Netflix,NFLX,Apr 2024,$55.06,Historical
Netflix,NFLX,May 2024,$64.16,Historical
Netflix,NFLX,Jun 2024,$67.49,Historical
Netflix,NFLX,Jul 2024,$62.83,Historical
Netflix,NFLX,Aug 2024,$70.14,Historical
Netflix,NFLX,Sep 2024,$70.93,Historical
Netflix,NFLX,Oct 2024,$75.60,Historical
Netflix,NFLX,Nov 2024,$88.68,Historical
Netflix,NFLX,Dec 2024,$89.13,Historical
Netflix,NFLX,Jan 2025,$97.68,Historical
Netflix,NFLX,Feb 2025,$98.06,Historical
Netflix,NFLX,Mar 2025,$93.25,Historical
Netflix,NFLX,Apr 2025,$113.17,Historical
Netflix,NFLX,May 2025,$120.72,Historical
Netflix,NFLX,Jun 2025,$133.91,Historical
Netflix,NFLX,Jul 2025,$115.94,Historical
Netflix,NFLX,Aug 2025,$120.82,Historical
Netflix,NFLX,Sep 2025,$119.89,Historical
Netflix,NFLX,Oct 2025,$111.89,Historical
Netflix,NFLX,Nov 2025,$107.58,Historical
Netflix,NFLX,Dec 2025,$93.76,Historical
Netflix,NFLX,Jan 2026,$83.49,Historical
Netflix,NFLX,Feb 2026,$96.24,Historical
Netflix,NFLX,Mar 2026,$94.70,Historical
Netflix,NFLX,Mar 2026,$102.06,Forecast
Netflix,NFLX,Apr 2026,$108.85,Forecast
Netflix,NFLX,May 2026,$89.96,Forecast
Netflix,NFLX,Jun 2026,$94.55,Forecast
Netflix,NFLX,Jul 2026,$119.58,Forecast
Netflix,NFLX,Aug 2026,$111.61,Forecast
Netflix,NFLX,Sep 2026,$108.06,Forecast
Netflix,NFLX,Oct 2026,$102.59,Forecast
Netflix,NFLX,Nov 2026,$107.98,Forecast
Netflix,NFLX,Dec 2026,$103.04,Forecast
Netflix,NFLX,Jan 2027,$97.14,Forecast
Netflix,NFLX,Feb 2027,$86.91,Forecast
Netflix,NFLX,Mar 2027,$101.73,Forecast
Netflix,NFLX,Apr 2027,$89.64,Forecast
Netflix,NFLX,May 2027,$98.34,Forecast
Netflix,NFLX,Jun 2027,$99.77,Forecast
Netflix,NFLX,Jul 2027,$88.42,Forecast
Netflix,NFLX,Aug 2027,$108.27,Forecast
